Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
251,23.042,23.121,-8.973818579206487e+17,0.09094808059229863,0.05869301643353902,over range,,
252,22.988,23.223,-2.669378352469905e+18,0.0908324255290476,0.05916053845364149,over range,,
253,22.941,23.179,-2.70347678816849e+18,0.09084893867204778,0.059620639489297904,over range,,
254,23.017,23.027,-1.1359455216023206e+17,0.09187863828268399,0.060058477571616094,over range,,
255,22.876,22.987,-1.2609085674225764e+18,0.09196218536586709,0.060474052700596075,over range,,
256,22.861,22.97,-1.2381932676266406e+18,0.09327540025887923,0.06075605010954678,over range,,
257,23.005,23.261,-2.9078988015353324e+18,0.09486568765509855,0.06133488689634032,over range,,
258,22.976,23.067,-1.0337030185253778e+18,0.09448705935404028,0.06172819907198209,over range,,
259,22.964,23.064,-1.1359379932470669e+18,0.09524583319451033,0.062158616169854214,over range,,
260,22.964,23.033,-7.838015673777908e+17,0.09637791286263903,0.06260387523661848,over range,,
261,23.005,23.04,-3.9758000663545504e+17,0.09686971524327398,0.0628784516611231,over range,,
262,22.978,23.111,-1.5107848189501228e+18,0.09879029005283038,0.06323465891453452,over range,,
263,22.945,23.085,-1.5903072107583777e+18,0.0987005396782836,0.06366507601240665,over range,,
264,23.035,23.116,-9.201012092553523e+17,0.09956551998183802,0.06388770554578878,over range,,
265,22.95,23.089,-1.5789467428467976e+18,0.10047460288026218,0.0643700695347834,over range,,
266,22.838,23.048,-2.3854766214674514e+18,0.10190937462200478,0.06466690891262625,over range,,
267,22.908,22.938,-3.407890934528441e+17,0.10009178142182429,0.06485985450822408,over range,,
268,22.907,23.166,-2.9420256974749404e+18,0.10115266379368511,0.06517895683940515,over range,,
269,22.97,23.042,-8.178785777807804e+17,0.10155800248769838,0.06551290113947834,over range,,
270,22.905,23.16,-2.896592115600892e+18,0.1024294032422505,0.06586168740844368,over range,,
271,22.954,22.902,5.907049103343803e+17,0.1031769078599729,0.06606947497293368,over range,,
272,22.898,23.096,-2.249144340476997e+18,0.10436530502381774,0.06666315372861936,over range,,
273,22.982,23.269,-3.2600225133895946e+18,0.10738676750690898,0.06860745165348998,over range,,
274,22.93,22.946,-1.8175392239195328e+17,0.1102950257008214,0.0705294866250224,over range,,
